Key,Type,Desc,English,Russian
AAP_HealingRate,Text,,Healing Rate,Скорость лечения
AAP_HpPerDay,Text,,HP/day,ОЗ/день
AAP_InTreatment,Text,,In Treatment,На лечении
AAP_RepairRate,Text,,Repair Rate,Скорость ремонта
AAP_Vehicles,Text,,Vehicles,Транспорт
AAP_PersonalAbilities,Text,,PERSONAL ABILITIES,ЛИЧНЫЕ СПОСОБНОСТИ
AAP_Repairing,Text,,REPAIRING:,РЕМОНТ:
AAP_Excavating,Text,,EXCAVATING:,РАСКОПКИ:
AAP_WillAttack,Text,,WILL ATTACK:,АТАКУЕТ:
AAP_PRECISION_SHOT,Ability Name,,Precision Shot,Точный выстрел
AAP_PRECISION_SHOT_DESC,Ability Description,,The next attack costs 0 AP and gains +20% accuracy. Costs 4 WP. Limited to 1 use per turn.,Следующая атака стоит 0 ОД и получает +20% меткости. Стоит 4 В. Один раз за ход.
AAP_MINDFRAGGER_LORE,Text,," "," "
AAP_PSYCHIC_INFLUENCES_LORE,Text,," "," "
AAP_EVAC_PROMPT,Text,,Evacuate Squad?,Эвакуировать отряд?
AAP_SCRAP_AIRCRAFT,Text,,SCRAP AIRCRAFT?,УТИЛИЗИРОВАТЬ ТРАНСПОРТ?
AAP_LAST_AIRCRAFT,Text,,This is Phoenix Point's last aircraft available,Это последний доступный летательный аппарат Феникса
AAP_MINDFRAGGER_FULL,Text,,"Summary: Mindfraggers are a bio-weapon designed to control, and possibly abduct human subjects. The creature’s head detaches from the body during an attack, becoming permanently linked to its host. Fortunately, killing the attached creature will remove it safely, restoring the victim to a normal state of mind.

<color=#A1A0FF>— Whispers from the Silver-Eyed Man —</color>
Not long after Phoenix Point's beacon blazed back to life and the first Manticore scouts returned, a stranger appeared at our makeshift gate. No aircraft, no escort – just a figure who walked out of the mist and knocked. His eyes, a disquieting silver-steel, seemed to hold the weight of centuries. He offered no name, only a cryptic congratulations: “The ashes have stirred. Good. You'll need this.”

The “gift” was a dense chemical formula scrawled on decaying paper, a recipe for something he called the Mind Awakening Elixir. It promised to fortify the human psyche against the alien corruption that would soon pour from the nests. Our best scientists tried to replicate it, but the compound refused to stabilise. The promise of psychic armour crumbled into another false hope, and the project was quietly shelved – no sense in dangling empty miracles before the troops.

Then, during the autopsy of a captured Mindfragger, a bio-chemist noticed a pattern. The parasitic interface the creature used to dominate its victims shared an uncanny molecular signature with the stranger's formula. A cross-referencing frenzy ensued. The alien's own biology held the missing key. From the marriage of human desperation and pandoran physiology, a watered-down but functional dietary supplement was born. It won't turn anyone into a telepath, but it does thicken the mind's walls – a little harder to panic, a little harder to control.","Отчет: промыватели — это биологическое оружие, предназначенное для контроля и, возможно, похищения людей. Голова существа отрывается от тела во время нападения, становясь постоянно связанной с его хозяином. К счастью, если убить прикрепившееся существо, то жертва безопасно вернется в сознательное состояние.

<color=#A1A0FF>— Шёпот сереброглазого человека —</color>
Вскоре после того, как маяк Феникс-Пойнт вновь вспыхнул, а первые разведчики «Мантикоры» вернулись, у наших временных ворот появился незнакомец. Ни самолёта, ни сопровождения — просто фигура, вышедшая из тумана и постучавшаяся в дверь. Его глаза, тревожного серебристо-стального оттенка, словно хранили тяжесть столетий. Он не назвал имени, лишь загадочно поздравил: «Пепел зашевелился. Хорошо. Вам это пригодится».

«Даром» оказалась плотная химическая формула, нацарапанная на истлевающей бумаге, — рецепт чего-то, что он назвал Эликсиром Пробуждения Разума. Он обещал укрепить человеческую психику перед лицом инопланетной порчи, которая скоро хлынет из гнездовий. Наши лучшие учёные пытались воспроизвести состав, но соединение отказывалось стабилизироваться. Обещание психической брони рассыпалось в ещё одну ложную надежду, и проект тихо свернули — нечего дразнить войска пустыми чудесами.

Потом, при вскрытии пойманного промывателя, биохимик заметил закономерность. Паразитический интерфейс, которым существо подчиняло жертв, имел поразительное молекулярное сходство с формулой незнакомца. Началась лихорадочная сверка данных. Ключом оказалась биология самого пришельца. Из союза человеческого отчаяния и пандоранской физиологии родилась разбавленная, но работающая пищевая добавка. Она не превратит никого в телепата, но делает стены разума толще — чуть сложнее вызвать панику, чуть сложнее подчинить контроль."
