Key,Type,Desc,en,ru
AAP_HealingRate,Text,,Healing Rate,Скорость лечения
AAP_HpPerDay,Text,,HP/day,ОЗ/день
AAP_InTreatment,Text,,In Treatment,На лечении
AAP_RepairRate,Text,,Repair Rate,Скорость ремонта
AAP_Vehicles,Text,,Vehicles,Транспорт
AAP_PersonalAbilities,Text,,PERSONAL ABILITIES,ЛИЧНЫЕ СПОСОБНОСТИ
AAP_Repairing,Text,,REPAIRING:,РЕМОНТ:
AAP_Excavating,Text,,EXCAVATING:,РАСКОПКИ:
AAP_WillAttack,Text,,WILL ATTACK:,АТАКУЕТ:
AAP_PRECISION_SHOT,Text,,Precision Shot,Точный выстрел
AAP_PRECISION_SHOT_DESC,Text,,Take a carefully aimed shot for 0 AP with +20% Accuracy. Costs 4 Will Points. Once per turn.,Тщательно прицельный выстрел за 0 ОД с +20% к точности. Стоит 4 ОВ. Раз за ход.
