Key,Type,Desc,en,ru
AAP_HealingRate,Text,,Healing Rate,Скорость лечения
AAP_HpPerDay,Text,,HP/day,ОЗ/день
AAP_InTreatment,Text,,In Treatment,На лечении
AAP_RepairRate,Text,,Repair Rate,Скорость ремонта
AAP_Vehicles,Text,,Vehicles,Транспорт
AAP_PersonalAbilities,Text,,PERSONAL ABILITIES,ЛИЧНЫЕ СПОСОБНОСТИ
AAP_Repairing,Text,,REPAIRING:,РЕМОНТ:
AAP_Excavating,Text,,EXCAVATING:,РАСКОПКИ:
AAP_WillAttack,Text,,WILL ATTACK:,АТАКУЕТ:
AAP_PRECISION_SHOT,Ability Name,,Precision Shot,Точный выстрел
AAP_PRECISION_SHOT_DESC,Ability Description,,The next attack costs 0 AP and gains +20% accuracy. Costs 4 WP. Limited to 1 use per turn.,Следующая атака стоит 0 ОД и получает +20% меткости. Стоит 4 В. Один раз за ход.
