Key,Type,Desc,en,ru
AAP_HealingRate,Text,,Healing Rate,Скорость лечения
AAP_HpPerDay,Text,,HP/day,ОЗ/день
AAP_InTreatment,Text,,In Treatment,На лечении
AAP_RepairRate,Text,,Repair Rate,Скорость ремонта
AAP_Vehicles,Text,,Vehicles,Транспорт
AAP_PersonalAbilities,Text,,PERSONAL ABILITIES,ЛИЧНЫЕ СПОСОБНОСТИ
AAP_Repairing,Text,,REPAIRING:,РЕМОНТ:
AAP_Excavating,Text,,EXCAVATING:,РАСКОПКИ:
AAP_WillAttack,Text,,WILL ATTACK:,АТАКУЕТ:
AAP_PRECISIONSHOT_DESC,Text,,Take a carefully aimed shot with your proficient weapon for 0 Action Points. Costs 3 Will Points. Can be used once per turn.,Тщательно прицельный выстрел из основного оружия за 0 ОД. Стоит 3 ОВ. Можно использовать один раз за ход.
